keyword,target_pos
CAD,NOUN
Thanksgiving,NOUN
birthday,NOUN
Lifetime,NOUN
world,NOUN
CEO,NOUN
heels,NOUN
combat,NOUN
cook,VERB
gullible,ADJ
career,NOUN
park,VERB
strong,ADJ
optimistic,ADJ
swoop,NOUN
idea,NOUN
Avon,NOUN
carton,NOUN
Shannon,NOUN
constantly,ADV
object,NOUN
magazine,NOUN
things,NOUN
beard,NOUN
gossiping,VERB
doctor,NOUN
war,NOUN
date,NOUN
digging,VERB
army,NOUN
masculine,NOUN
scared,ADJ
man,NOUN
basis,NOUN
stand,NOUN
fast,ADV
violence,NOUN
unavailable,ADJ
wanted,VERB
duel,NOUN
shrieked,VERB
people,NOUN
dainty,NOUN
wall,NOUN
afternoon,NOUN
care,NOUN
Week,NOUN
Sir,NOUN
feelings,NOUN
timid,ADJ
listened,VERB
bugs,NOUN
school,NOUN
authority,NOUN
kitchen,NOUN
home,ADV
artwork,NOUN
stuff,NOUN
CEO,NOUN
paddle,VERB
landslide,NOUN
CEO,NOUN
hitchhiking,VERB
wedding,NOUN
farm,NOUN
childhood,NOUN
requests,NOUN
hunt,VERB
overnight,ADV
plumbing,NOUN
captain,NOUN
executive,NOUN
unreasonable,ADJ
sick,ADJ
wear,VERB
entrepreneur,NOUN
trainers,NOUN
cats,NOUN
candles,NOUN
stark,ADJ
obligations,NOUN
raped,VERB
move,NOUN
hostages,NOUN
women,NOUN
man,NOUN
soldiers,NOUN
handiwork,NOUN
text,NOUN
life,NOUN
situation,NOUN
quick,ADJ
tie,NOUN
success,NOUN
activities,NOUN
boss,NOUN
contract,NOUN
mess,NOUN
scientists,NOUN
office,NOUN
spouse,NOUN
Drew,NOUN
difference,NOUN
Sarah,NOUN
carried,VERB
weapon,NOUN
work,VERB
feelings,NOUN
late,ADJ
event,NOUN
Titanic,ADJ
rough,ADJ
office,NOUN
complain,VERB
airhead,NOUN
Ritz,NOUN
easily,ADV
tomorrow,ADV
make,VERB
apartment,NOUN
competence,NOUN
confirmed,VERB
business,NOUN
charismatic,ADJ
mall,NOUN
boys,NOUN
image,NOUN
hold,VERB
Apaches,NOUN
pregnant,ADJ
show,NOUN
players,NOUN
coworkers,NOUN
hour,NOUN
dishes,NOUN
class,NOUN
CEO,NOUN
hastily,ADV
hair,NOUN
bar,NOUN
pain,NOUN
raise,VERB
nagging,VERB
coding,VERB
frustrated,VERB
Beth,NOUN
drive,VERB
rain,NOUN
learning,VERB
hard,ADV
hunters,NOUN
party,NOUN
hire,VERB
caring,ADJ
issues,NOUN
prone,ADJ
politics,NOUN
situations,NOUN
money,NOUN
fun,ADJ
smoothies,NOUN
drive,VERB
shoot,VERB
drive,VERB
rain,NOUN
learning,VERB
hard,ADV
hunters,NOUN
party,NOUN
hire,VERB
caring,ADJ
issues,NOUN
prone,ADJ
politics,NOUN
situations,NOUN
money,NOUN
fun,ADJ
smoothies,NOUN
drive,VERB
shoot,VERB
